,0
Start,1999-03-10 00:00:00+00:00
End,2024-05-17 00:00:00+00:00
Duration,9200 days 00:00:00
Exposure Time [%],25.20504731861199
Equity Final [$],3267741.9300000006
Equity Peak [$],3320174.2100000004
Return [%],3167.7419300000006
Buy & Hold Return [%],784.7630238934587
Return (Ann.) [%],14.865012846476455
Volatility (Ann.) [%],18.98331564005685
Sharpe Ratio,0.7830567182431328
Sortino Ratio,1.5066002657776827
Calmar Ratio,0.6013298699865313
Max. Drawdown [%],-24.72023025699589
Avg. Drawdown [%],-2.804817028125336
Max. Drawdown Duration,781 days 00:00:00
Avg. Drawdown Duration,39 days 00:00:00
# Trades,329
Win Rate [%],74.16413373860182
Best Trade [%],18.068595516382445
Worst Trade [%],-17.54093810713294
Avg. Trade [%],1.0841741991378218
Max. Trade Duration,25 days 00:00:00
Avg. Trade Duration,6 days 00:00:00
Profit Factor,2.8665328803520858
Expectancy [%],1.1321279747045192
SQN,4.959682136783803
_strategy,RollingIBSStrategy
_equity_curve,"                               Equity  DrawdownPct DrawdownDuration
1999-03-10 00:00:00+00:00   100000.00     0.000000              NaT
1999-03-11 00:00:00+00:00   100000.00     0.000000              NaT
1999-03-12 00:00:00+00:00   100000.00     0.000000              NaT
1999-03-15 00:00:00+00:00   100000.00     0.000000              NaT
1999-03-16 00:00:00+00:00   100000.00     0.000000              NaT
...                               ...          ...              ...
2024-05-13 00:00:00+00:00  3267741.93     0.015792              NaT
2024-05-14 00:00:00+00:00  3267741.93     0.015792              NaT
2024-05-15 00:00:00+00:00  3267741.93     0.015792              NaT
2024-05-16 00:00:00+00:00  3267741.93     0.015792              NaT
2024-05-17 00:00:00+00:00  3267741.93     0.015792          36 days

[6340 rows x 3 columns]"
_trades,"     Size  EntryBar  ExitBar  EntryPrice  ExitPrice       PnL  ReturnPct  \
0    1911        27       30       52.31      53.66   2579.85   0.025808   
1    1946        41       43       52.69      53.94   2432.50   0.023724   
2    2079        54       57       50.50      51.94   2993.76   0.028515   
3    1874        94       98       57.62      57.03  -1105.66  -0.010240   
4    1885       100      108       56.69      56.12  -1074.45  -0.010055   
..    ...       ...      ...         ...        ...       ...        ...   
324  7728      6246     6249      396.44     401.91  42272.16   0.013798   
325  7417      6265     6267      418.79     429.07  76246.76   0.024547   
326  7253      6296     6299      438.73     448.88  73617.95   0.023135   
327  7454      6309     6314      436.78     441.10  32201.28   0.009891   
328  7631      6316     6322      430.90     428.20 -20603.70  -0.006266   

                    EntryTime                  ExitTime Duration  
0   1999-04-19 00:00:00+00:00 1999-04-22 00:00:00+00:00   3 days  
1   1999-05-07 00:00:00+00:00 1999-05-11 00:00:00+00:00   4 days  
2   1999-05-26 00:00:00+00:00 1999-06-01 00:00:00+00:00   6 days  
3   1999-07-23 00:00:00+00:00 1999-07-29 00:00:00+00:00   6 days  
4   1999-08-02 00:00:00+00:00 1999-08-12 00:00:00+00:00  10 days  
..                        ...                       ...      ...  
324 2024-01-04 00:00:00+00:00 2024-01-09 00:00:00+00:00   5 days  
325 2024-02-01 00:00:00+00:00 2024-02-05 00:00:00+00:00   4 days  
326 2024-03-18 00:00:00+00:00 2024-03-21 00:00:00+00:00   3 days  
327 2024-04-05 00:00:00+00:00 2024-04-12 00:00:00+00:00   7 days  
328 2024-04-16 00:00:00+00:00 2024-04-24 00:00:00+00:00   8 days  

[329 rows x 10 columns]"
